"codigo";"denominacion";"grado_titulo"
1;"INGENIERIA EN ALIMENTOS";"GRADO"
2;"INGENIERIA AGRONOMICA";"GRADO"
3;"LICENCIATURA EN ADMINISTRACION";"GRADO"
4;"LICENCIATURA EN CS. DE LA EDUCACION";"GRADO"
5;"LICENCIATURA EN TRABAJO SOCIAL";"GRADO"
6;"LICENCIATURA EN HISTORIA (CICLO DE LICENCIATURA)";"GRADO"
7;"LICENC. EN DESARROLLO SOCIAL";"GRADO"
8;"PROFESORADO EN HISTORIA";"GRADO"
9;"MAESTRIA EN DEMOGRAFIA SOCIAL";"POSGRADO"
10;"LICENCIATURA EN GEOGRAFIA (CICLO DE LICENCIATURA)";"GRADO"
11;"TEC.UN.EN ANALISIS DE SISTEMAS";"GRADO"
12;"PROF. PARA EL NIVEL INICIAL";"GRADO"
13;"ESPECIALIZACION EN DEMOGRAFIA SOCIAL";"POSGRADO"
14;"LICENCIATURA EN INFORMATICA";"GRADO"
15;"LIC. EN EDUCACION FISICA (CICLO DE LICENCIATURA)";"GRADO"
16;"PROFESORADO EN GEOGRAFIA";"GRADO"
17;"LIC.EN SISTEMAS DE INFORMACION";"GRADO"
18;"LIC. EN CIENCIAS BIOLOGICAS";"GRADO"
19;"TEC. UN. EN INSP. DE ALIMENTOS";"GRADO"
21;"TEC. UNIV. EN ADMIN. MUNICIPAL";"GRADO"
22;"TEC.UNIV. EN INFORM. AMBIENTAL";"GRADO"
24;"TEC.UNIV. EN COMERCIO EXTERIOR";"GRADO"
25;"INGENIERIA INDUSTRIAL";"GRADO"
26;"LIC. EN EDUCACION INICIAL (CICLO DE LICENCIATURA)";"GRADO"
27;"LIC. EN COMERCIO INTERNACIONAL";"GRADO"
28;"MAESTRIA EN POL.Y GEST.EDUCAC.";"POSGRADO"
29;"LIC. EN INFORMACION AMBIENTAL";"GRADO"
30;"ESPEC.EN PROC.FISC.Y LEY PEN.TRIB.Y PREV.";"POSGRADO"
31;"ESP.EN PLAN.ESTR.APLIC.A FIN. Y COM.INT.";"POSGRADO"
32;"MAESTRIA EN CS.SOC.CON MENC.EN HIST.SOC.";"POSGRADO"
33;"PROF.EN ENSE¥ANZA MEDIA DE ADULTOS(CICLO PROF)";"GRADO"
34;"ESPEC.EN CS.SOC. CON MENC. EN HIST. SOC.";"POSGRADO"
35;"DOCTOR DE LA UNIVERS. NACIONAL DE LUJAN";"POSGRADO"
36;"ESP.TELED.Y SIST.INF.GEO.APL.EST.MED.AMB.";"POSGRADO"
37;"ESPEC.EN EST.DE LAS MUJERES Y DE GENERO";"POSGRADO"
38;"ESPECIALIZACION EN PRODUCCION AVICOLA";"POSGRADO"
39;"TECNICAT. EN ADMIN. Y GESTION UNIVERSIT.";"GRADO"
40;"ESPECIALIZ. EN GESTION DE LA EDUCACION";"POSGRADO"
41;"TECNICATURA UNIVERSITARIA EN INDUSTRIAS LACTEAS";"GRADO"
42;"DOCTORADO EN CIENCIAS APLICADAS";"POSGRADO"
43;"PROFESORADO EN EDUCACION FISICA";"GRADO"
44;"ESP. EN GESTION DEL PATRIMON. Y TURISMO SOSTENIBLE";"POSGRADO"
45;"MAESTRIA EN GESTION EMPRESARIA";"POSGRADO"
46;"ESP. EN GESTION DE LA TECNOLOGIA Y LA INNOVACION";"POSGRADO"
47;"MAESTRIA EN ESTUDIOS DE LAS MUJERES Y DE GENERO";"POSGRADO"
48;"PROFESORADO EN CIENCIAS BIOLOGICAS";"GRADO"
49;"DOCTORADO DE LA UNLu CON OR.CS.SOC.Y HUM.";"POSGRADO"
50;"ESPECIALIZACION EN ECOLOGIA Y MANEJO DE CUENCAS";"POSGRADO"
51;"LICENCIATURA EN GESTION UNIVERSITARIA";"GRADO"
52;"LICENCIATURA EN ENFERMERIA";"GRADO"
53;"ESP.EN CALIDAD ECOLOGICA Y REST.DE SIST. FLUVIALES";"POSGRADO"
54;"CONTADOR PUBLICO";"GRADO"
55;"PROFESORADO EN CIENCIAS DE LA EDUCACION";"GRADO"
56;"ESPECIALIZACION EN SALUD SOCIAL Y COMUNITARIA";"POSGRADO"
57;"MAESTRIA EN PRODUCCION AVICOLA";"POSGRADO"
58;"PROFESORADO EN FISICA";"GRADO"
59;"LICENCIATURA EN MUSEOLOGIA";"GRADO"
60;"ESPECIALIZACION EN EDUCACION POPULAR DE ADULTOS";"POSGRADO"
61;"MAESTRIA EN EDUCACION POPULAR DE ADULTOS";"POSGRADO"
62;"TECNICATURA UNIV. EN ACOMPA¥AMIENTO TERAPEUTICO";"GRADO"
63;"TECNICATURA UNIVERSITARIA EN LOGISTICA";"GRADO"
64;"TECNICATURA UNIVERSITARIA EN GESTION DEL PAISAJE";"GRADO"
65;"ESP. EN EST.DE LAS EDADES Y DEL CURSO DE LA VIDA";"POSGRADO"
66;"ESP.EN GEST.DE CALIDAD EN PROD.PRIM. AGRIC GANAD.";"POSGRADO"
67;"ESP.EN GESTION DE CALIDAD EN PROD.IND.DE ALIMENTOS";"POSGRADO"
68;"MAEST.EN GESTIÓN INTERN.DE LA TEC.Y DE LA INNOVAC.";"POSGRADO"
69;"ESPECIALIZACION EN MATEMATICA APLICADA";"POSGRADO"
70;"ESP.EN EDUC.Y POLITICAS PUB.PARA LA PRIMERA INFAN.";"POSGRADO"
71;"MAEST.EN LENGUAS EXTRANJ.:PROBL.SOC.,INTER.Y PLUR.";"POSGRADO"
72;"ESP.EN LENGUAS EXTRANJ.:PROBL.SOC.,INTERC.Y PLURI.";"POSGRADO"
73;"ESP.EN ACTIVIDAD FISICA P.PERSONAS CON DISCAPACID.";"POSGRADO"
74;"MAEST.EN ESTUDIOS SOBRE CONSTRUCCION DE CIUDADANIA";"POSGRADO"
75;"ESP.EN INTERV.ANTE EL MALTR.Y LA VIOL.SEX.C/L.INF.";"POSGRADO"
85;"DIPLOMATURA UNI.EN GESTION DE PROCESOS PRODUCTIVOS";"DIPLOMATURA"
86;"DIPLOMATURA UNIVERSITARIA EN DESARROLLO RURAL";"DIPLOMATURA"
95;"LIC. EN SISTEMAS DE INFORMACION (CICLO)";"GRADO"
96;"LICENCIATURA EN EDUCACION PERMANENTE";"GRADO"
97;"LIC. EN HISTORIA ARGENTINA Y AMERICANA";"GRADO"
98;"TECNICO EN MUSEOS HISTORICOS";"GRADO"
99;"PARA MODIFICAC. DE EGRESADOS UNICAMENTE";"GRADO"
